Leaderboard:

     model                          score_test    score_val  eval_metric      pred_time_test    pred_time_val      fit_time    pred_time_test_marginal    pred_time_val_marginal    fit_time_marginal    stack_level  can_infer      fit_order
127  LightGBM_r131_BAG_L2         -1.48312       -1.72584    log_loss            19.3089           3.65694     224.746                      0.0199602                 0.0138297            1.59383                 2  True                 103
128  LightGBM_r143_BAG_L2         -1.48312       -1.72584    log_loss            19.3091           3.65304     224.687                      0.0201631                 0.00992727           1.5348                  2  True                 135
129  LightGBM_r30_BAG_L2          -1.48312       -1.72584    log_loss            19.3091           3.65421     224.687                      0.0202                    0.0110977            1.53439                 2  True                 146
130  LightGBM_r135_BAG_L2         -1.48312       -1.72584    log_loss            19.31             3.65474     224.672                      0.0210161                 0.0116291            1.51945                 2  True                 156
131  LightGBM_r94_BAG_L2          -1.48312       -1.72584    log_loss            19.3101           3.65488     224.705                      0.0211897                 0.0117733            1.55296                 2  True                 139
132  LightGBM_r42_BAG_L2          -1.48312       -1.72584    log_loss            19.3103           3.65574     224.758                      0.0213282                 0.0126338            1.60524                 2  True                 177
133  LightGBM_r130_BAG_L2         -1.48312       -1.72584    log_loss            19.3108           3.65623     224.76                       0.0218551                 0.0131221            1.60743                 2  True                 115
134  NeuralNetFastAI_r111_BAG_L2  -1.73863       -1.76804    log_loss            19.3718           3.67993     225.427                      0.08287                   0.0368171            2.27436                 2  True                 141
135  NeuralNetFastAI_r103_BAG_L2  -1.73863       -1.76804    log_loss            19.4206           3.68212     225.47                       0.13164                   0.039012             2.31751                 2  True                 120
136  NeuralNetFastAI_r37_BAG_L2   -1.75259       -1.75969    log_loss            19.3754           3.68327     225.519                      0.0864449                 0.0401592            2.3669                  2  True                 132
137  NeuralNetFastAI_r194_BAG_L2  -1.75259       -1.75969    log_loss            19.3808           3.68168     225.46                       0.091841                  0.0385737            2.30736                 2  True                 167
138  NeuralNetFastAI_r95_BAG_L2   -1.75259       -1.75969    log_loss            19.4053           3.67958     225.527                      0.116328                  0.0364697            2.37436                 2  True                 127
139  NeuralNetFastAI_r145_BAG_L2  -1.75259       -1.75969    log_loss            19.4103           3.68397     225.571                      0.121341                  0.040858             2.41884                 2  True                 112
140  NeuralNetFastAI_r160_BAG_L2  -1.75259       -1.75969    log_loss            19.4106           3.68195     225.437                      0.121709                  0.0388441            2.28519                 2  True                 154
141  NeuralNetFastAI_r187_BAG_L1  -1.75531       -1.77122    log_loss             0.0578799        0.0302515     0.71636                    0.0578799                 0.0302515            0.71636                 1  True                  84
142  NeuralNetFastAI_r143_BAG_L1  -1.75531       -1.77122    log_loss             0.0841117        0.0346131     0.782051                   0.0841117                 0.0346131            0.782051                1  True                  34
143  NeuralNetFastAI_r69_BAG_L1   -1.75531       -1.77122    log_loss             0.098531         0.031657      0.803078                   0.098531                  0.031657             0.803078                1  True                  69
144  NeuralNetFastAI_r103_BAG_L1  -1.7577        -1.77332    log_loss             0.0794961        0.0316062     0.841105                   0.0794961                 0.0316062            0.841105                1  True                  31
145  NeuralNetFastAI_r111_BAG_L1  -1.7577        -1.77332    log_loss             0.0859702        0.0371833     0.812704                   0.0859702                 0.0371833            0.812704                1  True                  52
146  NeuralNetFastAI_r88_BAG_L2   -1.76425       -1.72471    log_loss            19.3628           3.6797      225.437                      0.0738173                 0.0365951            2.28444                 2  True                 145
147  NeuralNetFastAI_r65_BAG_L2   -1.76425       -1.72471    log_loss            19.3738           3.6774      225.492                      0.0848598                 0.0342932            2.34011                 2  True                 144
148  NeuralNetFastAI_r172_BAG_L2  -1.76425       -1.72471    log_loss            19.4001           3.67933     225.504                      0.111187                  0.0362186            2.35156                 2  True                 161
149  NeuralNetFastAI_r156_BAG_L2  -1.76425       -1.72471    log_loss            19.4039           3.67997     225.503                      0.114933                  0.0368581            2.35085                 2  True                 124
150  NeuralNetFastAI_r100_BAG_L1  -1.7663        -1.76556    log_loss             0.0700159        0.034925      0.798247                   0.0700159                 0.034925             0.798247                1  True                  83
151  NeuralNetFastAI_r191_BAG_L1  -1.7663        -1.76556    log_loss             0.0959089        0.0335274     0.862919                   0.0959089                 0.0335274            0.862919                1  True                  15
152  NeuralNetFastAI_r11_BAG_L1   -1.7663        -1.76556    log_loss             0.0966997        0.0311213     0.765616                   0.0966997                 0.0311213            0.765616                1  True                  28
153  NeuralNetFastAI_r138_BAG_L1  -1.7663        -1.76556    log_loss             0.0972381        0.0324492     0.772965                   0.0972381                 0.0324492            0.772965                1  True                  70
154  NeuralNetFastAI_r134_BAG_L1  -1.7663        -1.76556    log_loss             0.103017         0.0305648     0.763823                   0.103017                  0.0305648            0.763823                1  True                  48
155  NeuralNetFastAI_r187_BAG_L2  -1.7713        -1.77797    log_loss            19.3709           3.68053     225.498                      0.0820079                 0.0374181            2.34584                 2  True                 173
156  NeuralNetFastAI_r69_BAG_L2   -1.7713        -1.77797    log_loss            19.4105           3.67966     225.421                      0.121606                  0.0365512            2.26847                 2  True                 158
157  NeuralNetFastAI_r143_BAG_L2  -1.7713        -1.77797    log_loss            19.4166           3.68819     225.531                      0.127618                  0.0450845            2.3785                  2  True                 123
158  NeuralNetFastAI_BAG_L1       -1.79187       -1.81528    log_loss             0.0617852        0.0425634     0.964987                   0.0617852                 0.0425634            0.964987                1  True                   3
159  NeuralNetFastAI_r127_BAG_L1  -1.79187       -1.81528    log_loss             0.0632241        0.0341656     0.699136                   0.0632241                 0.0341656            0.699136                1  True                  76
160  NeuralNetFastAI_r102_BAG_L1  -1.79187       -1.81528    log_loss             0.073298         0.0293391     0.686053                   0.073298                  0.0293391            0.686053                1  True                  20
161  NeuralNetFastAI_r194_BAG_L1  -1.793         -1.80002    log_loss             0.0636969        0.0385332     0.738427                   0.0636969                 0.0385332            0.738427                1  True                  78
162  NeuralNetFastAI_r37_BAG_L1   -1.793         -1.80002    log_loss             0.0860229        0.0343056     0.866774                   0.0860229                 0.0343056            0.866774                1  True                  43
163  NeuralNetFastAI_r95_BAG_L1   -1.793         -1.80002    log_loss             0.0860519        0.0343826     0.790603                   0.0860519                 0.0343826            0.790603                1  True                  38
164  NeuralNetFastAI_r145_BAG_L1  -1.793         -1.80002    log_loss             0.0877733        0.0359457     0.799989                   0.0877733                 0.0359457            0.799989                1  True                  23
165  NeuralNetFastAI_r160_BAG_L1  -1.793         -1.80002    log_loss             0.0879691        0.030781      0.700294                   0.0879691                 0.030781             0.700294                1  True                  65
166  NeuralNetFastAI_r100_BAG_L2  -1.79933       -1.80704    log_loss            19.3852           3.68258     225.565                      0.0962172                 0.0394709            2.41295                 2  True                 172
167  NeuralNetFastAI_r11_BAG_L2   -1.79933       -1.80704    log_loss            19.3859           3.68722     226.356                      0.0969269                 0.044106             3.20389                 2  True                 117
168  NeuralNetFastAI_r138_BAG_L2  -1.79933       -1.80704    log_loss            19.4098           3.68424     225.636                      0.120867                  0.041132             2.48358                 2  True                 159
169  NeuralNetFastAI_r134_BAG_L2  -1.79933       -1.80704    log_loss            19.4139           3.68274     225.603                      0.124984                  0.0396297            2.45112                 2  True                 137
170  NeuralNetFastAI_r191_BAG_L2  -1.79933       -1.80704    log_loss            19.4227           3.69083     225.84                       0.133749                  0.0477228            2.68799                 2  True                 104
171  NeuralNetFastAI_r88_BAG_L1   -1.80897       -1.83228    log_loss             0.0552678        0.0286512     0.695012                   0.0552678                 0.0286512            0.695012                1  True                  56
