Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
10200	0.001521	0.002306	0.007691	0.006318	0.001670	0.002341	0.000735	0.002173	0.002437	0.010233	0.010021	0.007548	0.004305	0.004137	0.006120	-4699.599
10300	0.001560	0.001646	0.006473	0.007078	0.004859	0.004218	0.001959	0.001851	0.006670	0.010035	0.009977	0.006356	0.004996	0.004354	0.004733	-4699.422
10400	0.001030	0.003414	0.009294	0.009229	0.002200	0.007790	0.001472	0.000892	0.002261	0.009069	0.008615	0.006720	0.004584	0.003185	0.007217	-4699.687
10500	0.001937	0.001201	0.004526	0.008524	0.001485	0.006533	0.001525	0.003692	0.007912	0.007027	0.005534	0.004984	0.003170	0.003522	0.001786	-4699.115
10600	0.000871	0.002699	0.007550	0.004410	0.003650	0.001707	0.001777	0.002368	0.001778	0.008860	0.008142	0.005866	0.004526	0.000706	0.007305	-4694.494
10700	0.001194	0.000834	0.006152	0.005943	0.001988	0.001314	0.001812	0.001594	0.018431	0.008389	0.007533	0.005186	0.003123	0.002486	0.005903	-4702.822
10800	0.002371	0.000798	0.004851	0.004878	0.002102	0.001258	0.001712	0.002734	0.003030	0.007821	0.007814	0.006532	0.004720	0.005577	0.007819	-4696.543
10900	0.001068	0.001309	0.006973	0.008060	0.002509	0.003246	0.001173	0.001184	0.002164	0.007213	0.007144	0.005729	0.002319	0.003447	0.006406	-4692.941
11000	0.000670	0.002081	0.003324	0.005578	0.001823	0.005392	0.001937	0.001542	0.001469	0.011521	0.009714	0.005047	0.002934	0.004642	0.007998	-4697.292
11100	0.001002	0.001216	0.009176	0.004073	0.001264	0.000964	0.001747	0.001453	0.001160	0.008272	0.008258	0.006846	0.005745	0.002149	0.006560	-4697.086
11200	0.001928	0.002249	0.004036	0.007978	0.001651	0.001332	0.001440	0.001053	0.006013	0.007309	0.006925	0.004586	0.003092	0.002197	0.006226	-4702.750
11300	0.001594	0.001653	0.012706	0.003757	0.003357	0.001540	0.001412	0.001868	0.001193	0.007496	0.006741	0.004534	0.002699	0.003676	0.006565	-4692.315
11400	0.001150	0.002037	0.005638	0.003271	0.009965	0.001661	0.001658	0.002375	0.001628	0.010428	0.006600	0.006101	0.002258	0.005681	0.006912	-4694.461
11500	0.001371	0.001569	0.009209	0.003811	0.003418	0.001497	0.002295	0.001153	0.002542	0.008581	0.007967	0.004425	0.003115	0.003472	0.007758	-4698.527
11600	0.002588	0.001460	0.004705	0.005184	0.007929	0.001001	0.002238	0.001766	0.002073	0.010057	0.008609	0.006465	0.004360	0.002678	0.007847	-4690.689
11700	0.000998	0.001992	0.007109	0.002058	0.002116	0.001714	0.001989	0.001269	0.006636	0.009374	0.008512	0.004811	0.003231	0.003329	0.004205	-4691.634
11800	0.001056	0.001209	0.006796	0.007957	0.002241	0.001418	0.001875	0.004337	0.006548	0.008053	0.007655	0.006512	0.003957	0.001521	0.002289	-4698.592
11900	0.001719	0.001900	0.009289	0.005183	0.001345	0.000690	0.002554	0.003204	0.003142	0.009552	0.007887	0.007832	0.005435	0.000878	0.009100	-4698.995
12000	0.000956	0.001565	0.010216	0.002993	0.002353	0.002445	0.004917	0.001635	0.003813	0.008785	0.008704	0.005734	0.004634	0.004653	0.005272	-4701.433
12100	0.001415	0.002054	0.010664	0.008110	0.002451	0.001649	0.005738	0.001272	0.004920	0.009135	0.006107	0.004893	0.004639	0.003990	0.005211	-4695.601
12200	0.000849	0.001113	0.006432	0.006189	0.002264	0.001188	0.003220	0.001867	0.001528	0.008775	0.008442	0.007024	0.003998	0.003859	0.006948	-4694.736
